Volcano,Latitude,Longitude,Color
Aguilera,-50.33,-73.75,#f08080
Antillanca-Casablanca,-40.75,-72.17,#fe4b03
Apagado,-41.88,-72.59,#87cefa
Arenales,-47.19,-73.46,#98fb98
Monte Burney,-52.33,-73.38,#bc8f8f
Caburga-Huelemolle,-39.26,-71.7,#663399
Calbuco,-41.33,-72.62,#008000
Carrán-Los Venados,-40.31,-72.07,#9400d3
Cay,-45.06,-72.99,#0a5f38
Chaitén,-42.84,-72.65,#008080
Corcovado,-43.19,-72.79,#fa2a55
Fueguino,-54.96,-70.24,#00bfff
Hornopirén,-41.88,-72.43,#00008b
Huanquihue Group,-39.88,-71.58,#ff1493
Hudson,-45.9,-72.97,#ad03de
Huequi,-42.38,-72.58,#6a5acd
Lanín,-39.64,-71.5,#feb209
Llaima,-38.7,-71.73,#ffa500
Lautaro,-49.01,-73.5,#d2691e
Macá,-45.11,-73.17,#01b44c
Melimoyu,-44.08,-72.86,#80f9ad
Mentolat,-44.7,-73.08,#ee82ee
Michinmahuida,-42.8,-72.45,#40e0d0
Mocho-Choshuenco,-39.91,-72.04,#ff69b4
Osorno,-41.1,-72.5,#bffe28
Puyehue-Cordón Caulle,-40.59,-72.11,#ffd700
Quetrupillán,-39.5,-71.71,#ff0000
Reclus,-50.96,-73.58,#da70d6
Sollipulli,-38.97,-71.52,#8b4513
Tronador,-41.16,-71.89,#006400
Viedma,-49.36,-73.27,#4682b4
Villarrica,-39.42,-71.94,#a52a2a
Puntiagudo,-40.97,-72.27,#a9561e
Yanteles,-43.5,-72.8,#ffff00
Yate,-41.79,-72.4,#0000ff
