Volcano,k,b,Latitude,Longitude,Color,number_of_samples
Llaima,0.3579649122807017,16.615906432748524,-38.7,-71.73,#ffa500,1412.0
Sollipulli,,,-38.97,-71.52,#8b4513,70.0
Caburga-Huelemolle,1.2433684210526317,-42.558128654970716,-39.26,-71.7,#663399,134.0
Villarrica,0.34913684210526325,20.256187134502927,-39.42,-71.94,#a52a2a,859.0
Quetrupillán,0.881417543859649,0.7911578947368287,-39.5,-71.71,#ff0000,1205.0
Lanín,0.8748397660818712,9.868491228070132,-39.64,-71.5,#feb209,81.0
Huanquihue Group,,,-39.88,-71.58,#ff1493,176.0
Mocho-Choshuenco,,,-39.91,-72.04,#ff69b4,2659.0
Carrán-Los Venados,,,-40.31,-72.07,#9400d3,155.0
Puyehue-Cordón Caulle,0.6454830409356727,-5.926830409356732,-40.59,-72.11,#ffd700,1573.0
Antillanca-Casablanca,,,-40.75,-72.17,#fe4b03,116.0
Osorno,,,-41.1,-72.5,#bffe28,96.0
Calbuco,0.22052397660818715,21.016093567251467,-41.33,-72.62,#008000,142.0
Yate,0.7171461988304093,-13.944795321637423,-41.79,-72.4,#0000ff,37.0
Apagado,,,-41.88,-72.59,#87cefa,32.0
Hornopirén,,,-41.88,-72.43,#00008b,20.0
Huequi,0.31209356725146203,4.247953216374268,-42.38,-72.58,#6a5acd,11.0
Michinmahuida,0.7602479532163741,18.118409356725138,-42.8,-72.45,#40e0d0,369.0
Chaitén,,,-42.84,-72.65,#008080,985.0
Corcovado,,,-43.19,-72.79,#fa2a55,4.0
Yanteles,,,-43.5,-72.8,#ffff00,2.0
Melimoyu,0.6447906432748537,26.048093567251435,-44.08,-72.86,#80f9ad,346.0
Mentolat,,,-44.7,-73.08,#ee82ee,51.0
Cay,,,-45.06,-72.99,#0a5f38,17.0
Macá,,,-45.11,-73.17,#01b44c,15.0
Hudson,0.8049076023391813,18.52692397660823,-45.9,-72.97,#ad03de,742.0
Lautaro,,,-49.01,-73.5,#d2691e,38.0
Viedma,,,-49.36,-73.27,#4682b4,0.0
Aguilera,,,-50.33,-73.75,#f08080,32.0
Reclus,0.35363742690058475,42.64140350877194,-50.96,-73.58,#da70d6,132.0
Monte Burney,,,-52.33,-73.38,#bc8f8f,370.0
