Volcano,k,b
Llaima,0.3579649122807017,16.615906432748524
Sollipulli,,
Caburga-Huelemolle,1.2433684210526317,-42.558128654970716
Villarrica,0.34913684210526325,20.256187134502927
Quetrupillán,0.881417543859649,0.7911578947368287
Lanín,0.8748397660818712,9.868491228070132
Huanquihue Group,,
Mocho-Choshuenco,,
Carrán-Los Venados,,
Puyehue-Cordón Caulle,0.6454830409356727,-5.926830409356732
Antillanca-Casablanca,,
Osorno,,
Calbuco,0.22052397660818715,21.016093567251467
Yate,0.7171461988304093,-13.944795321637422
Apagado,,
Hornopirén,,
Huequi,0.31209356725146203,4.247953216374267
Michinmahuida,0.7602479532163741,18.118409356725138
Chaitén,,
Corcovado,,
Yanteles,,
Melimoyu,0.6447906432748537,26.048093567251435
Mentolat,,
Cay,,
Macá,,
Hudson,0.8049076023391813,18.52692397660823
Lautaro,,
Viedma,,
Aguilera,,
Reclus,0.35363742690058475,42.641403508771944
Monte Burney,,
