Volcano,number of samples,polinomial fit coeff a/effusive regression,polinomial fit coeff b/effusive regression,number of samples for effusive regression,polinomial fit coeff a/bulk pyroclastic regression,polinomial fit coeff b/bulk pyroclastic regression,number of samples for bulk pyroclastic regression,fit case,R2_effusive_regression,RMSE_effusive_regression,R2_bulk_pyroclastic_regression,RMSE_bulk_pyroclastic_regression,R2_effusive_to_bulk_pyroclastic_regression,RMSE_effusive_to_bulk_pyroclastic_regression,R2_bulk_pyroclastic_to_effusive_regression,RMSE_bulk_pyroclastic_to_effusive_regression,polinomial fit coeff a/joint regression,polinomial fit coeff b/joint regression,number of samples for joint regression
Llaima,1412.0,-3.069,0.071,63.0,-3.069,0.071,137.0,Case 7,0.5282936648735992,0.5151197902604312,0.9251803066735949,1.072396845454282,-0.28690909413212595,0.14935574186268186,0.703002650527241,0.17627300379045974,-2.5,0.059,200.0
Sollipulli,70.0,-1.0,-1.0,-1.0,-3.069,0.071,6.0,Case 5,-1.0,-1.0,0.9834949694939963,0.11608758401922545,-1.0,-1.0,-1.0,-1.0,,,
Caburga-Huelemolle,134.0,-11.452,0.24,25.0,-11.452,0.24,3.0,Case 8.1,0.41172287504253247,0.6134152051583296,0.09120769250744198,3.2797872936482984e-05,-0.7677067219367659,0.2715322324145387,-533.0395347550772,0.08015241190488215,-10.825,0.227,28.0
Villarrica,859.0,-3.675,0.082,20.0,-3.675,0.082,60.0,Case 2,0.7730002369964746,0.058499325964375404,0.8069072975527551,0.16016111025914645,0.6489585505618649,0.06725536452038597,0.1901235797272992,0.10581064385439416,-2.311,0.056,80.0
Quetrupillán,1205.0,-7.067,0.155,55.0,-7.067,0.155,6.0,Case 1,0.93073445456594,0.9534709216803363,0.9993505874013475,0.0032916787434654456,0.812613823709982,0.21656213636647884,0.9775202300599422,0.13780617314070112,-6.756,0.15,61.0
Lanín,81.0,-6.265,0.142,34.0,-6.265,0.142,3.0,Case 2,0.8716124688489889,1.8959109714951772,0.7887691734750955,0.008534854072483796,0.5893116808957001,0.4223419910046235,-0.6172485154763845,0.14758667685466142,-6.394,0.145,37.0
Huanquihue Group,176.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Case 0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
Mocho-Choshuenco,2659.0,-1.0,-1.0,-1.0,-6.265,0.142,121.0,Case 8.2,-1.0,-1.0,0.8572597452977867,2.9038230552533655,-1.0,-1.0,-1.0,-1.0,,,
Carrán-Los Venados,155.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Case 0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
Puyehue-Cordón Caulle,1573.0,-5.231,0.114,55.0,-5.231,0.114,35.0,Case 1,0.9816871597960236,0.7309568291608861,0.9755648397020454,0.14697743392081766,0.9732063648595792,0.13944485206307902,0.9665267254591339,0.07584602271295136,-5.319,0.115,90.0
Antillanca-Casablanca,116.0,-1.0,-1.0,-1.0,-5.231,0.114,13.0,Case 5,-1.0,-1.0,0.9458730026686152,0.32691628997226874,-1.0,-1.0,-1.0,-1.0,,,
